mice_ID,exp_cond,deprivation_duration,birth_date,estrous_stage,state_before,retrieval_before_latency,state_before_comment,1h_food_consumption_before,state_after,state_after_latency,parental_state_after,retrieval_after_latency,state_after_comment,1h_food_consumption_after,target_before,target_before_latency,target_2_before,litter_size,target,target_after,target_after_latency,target_2_after,exp_time,prev_exp,exp_date
BRAC5204.2i,food_deprivation,,,P,Parental+,55,retrieve both pups,0.1,Agg-,,Parental+,19,retrieve both pups,0.7,,,,,pup,,,,3,food_deprivation(4),20/01/21
BRAC5204.2j,food_deprivation,,,E,Parental+,481,retrieve both pups,0.3,Agg-,,Parental-,,"mouse confused, tried to build a test but too little parenting time",0.4,,,,,pup,,,,3,food_deprivation(4),20/01/21
BRAC5266.1f,food_deprivation,,,E,Parental+,,build a nest around the pups,0,Agg-,,Parental+,304,retrieve both pups,0.4,,,,,pup,,,,3,food_deprivation(4),20/01/21
BRAC5266.1g,food_deprivation,,,M,Parental+,363,retrieve both pups,0.1,Agg-,,Parental+,418,retrieve both pups,0.6,,,,,pup,,,,3,food_deprivation(4),20/01/21
BRAC5195.3e,food_deprivation,,,M,Parental+,209,retrieve both pups,0,Agg-,,Parental+,13,retrieve both pups,0.3,,,,,pup,,,,3,food_deprivation(4),21/01/21
BRAC5195.3c,food_deprivation,,,M,Parental+,575,retrieve both pups,0.2,Agg-,,Parental+,358,retrieve both pups,0.1,,,,,pup,,,,3,food_deprivation(4),21/01/21
BRAC5195.3d,food_deprivation,,,P,Parental+,35,retrieve both pups,0.2,Agg-,,Parental+,104,retrieve both pups,0.3,,,,,pup,,,,3,food_deprivation(4),21/01/21
BRAC5204.2h,food_deprivation,,,P,Parental+,148,retrieve both pups,0.4,Agg-,,Parental+,84,retrieve both pups,0.6,,,,,pup,,,,3,food_deprivation(4),21/01/21
BRAC5081.3e,food_deprivation,,,P,Parental+,116,"retrieve both pups, one pup run out of the next later",0.2,Agg+,259,,,,0.9,,,,,pup,,,,3,food_deprivation(4),22/01/21
BRAC5081.3c,food_deprivation,,,P,Parental+,,build a nest around the pups,0.1,Agg-,,Parental+,,build a nest around the pups,0.8,,,,,pup,,,,3,food_deprivation(4),22/01/21
BRAC5048.5e,food_deprivation,,,P,Parental+,47,retrieve both pups,0.3,Agg-,,Parental+,13,retrieve both pups,1,,,,,pup,,,,3,food_deprivation(4),22/01/21
BRAC5081.3d,food_deprivation,,,P,Parental+,128,retrieve both pups,0.2,Agg-,,Parental+,,build a nest around the pups really late but a lot of grooming,1,,,,,pup,,,,3,food_deprivation(4),22/01/21
BRAC5048.5c,food_deprivation,,,E,Parental+,26,retrieve both pups,0.1,Agg-,,Parental+,46,retrieve both pups,0.1,,,,,pup,,,,2,food_deprivation(4),23/01/21
BRAC5018.4e,food_deprivation,,,M,Parental+,391,retrieve both pups,0.1,Agg-,,Parental+,129,retrieve both pups,0.5,,,,,pup,,,,2,food_deprivation(4),23/01/21
BRAC5018.4d,food_deprivation,,,P,Parental+,91,retrieve both pups,0.1,Agg-,,Parental+,19,retrieve both pups,0.6,,,,,pup,,,,2,food_deprivation(4),23/01/21
BRAC5048.5d,food_deprivation,,,P,Parental+,,"build a nest around the pups (late onset), spent some time messing around",0.2,Agg-,,Parental+,,build a nest around the pups,0.6,,,,,pup,,,,2,food_deprivation(4),23/01/21
BRAC5204.2i,food_deprivation,,,D,Parental-,,,0.3,Agg-,,Parental+,,build a nest around the pups (late onset),0.6,,,,,pup,,,,4,food_deprivation(4),24/01/21
BRAC5204.2j,food_deprivation,,,E,Parental+,94,retrieve both pups,0.1,Agg-,,Parental+,20,retrieve both pups,0.5,,,,,pup,,,,4,food_deprivation(4),24/01/21
BRAC5266.1f,food_deprivation,,,E,Parental+,,build a nest around the pups,0.1,Agg-,,Parental+,,build a nest around one pup and retrieve the left out,0.3,,,,,pup,,,,4,food_deprivation(4),24/01/21
BRAC5266.1g,food_deprivation,,,E,Parental+,106,retrieve both pups,0.2,Agg-,,Parental+,141,retrieve both pups,0.6,,,,,pup,,,,4,food_deprivation(4),24/01/21
